"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst","L1234","L567","speed_norm","stability_norm","optimality_score","steady_state_score","optimality_rank","optimality_percentile","is_top5pct"
"0010111",150,"0","0","1","0","1","1","1",30,30405971.9986373,3493279.18452095,637782.603008459,25554060.3705843,41122653.3339258,11.4887930064446,2,FALSE,FALSE,"0010","111",0.0126147387503198,0.0215509388666309,0.0249714757227538,0.0179764588201065,1,100,TRUE
"0100100",163,"0","1","0","0","1","0","0",30,31102184.8589499,3308399.21172568,604028.292498154,27108753.091313,39139872.6469673,10.63719229607,7,FALSE,FALSE,"0100","100",0.0350228638254087,0,0.0350228638254087,0.0140091455301635,2,99.21875,TRUE
"0010010",145,"0","0","1","0","0","1","0",30,31274913.4489225,3759644.60824574,686414.053379622,27011344.5509887,41969962.0315485,12.0212790177211,10,FALSE,FALSE,"0010","010",0.0405822610568995,0.0350262370158162,0.0536074359765367,0.0372486466322495,3,98.4375,TRUE
"0110111",182,"0","1","1","0","1","1","1",30,32061519.2020736,3642622.51552019,665048.840075541,27343654.7327261,41612957.5472117,11.3613534423054,23,FALSE,FALSE,"0110","111",0.0658997481448043,0.0183259036799573,0.0684004060750791,0.0373554414658961,4,97.65625,TRUE
"0100101",164,"0","1","0","0","1","0","1",30,30014036.3361031,4117983.23414843,751837.436257057,25538364.345701,41896053.8475894,13.720191406562,1,TRUE,FALSE,"0100","101",0,0.0780195748390902,0.0780195748390902,0.0468117449034541,5,96.875,TRUE
"1000101",196,"1","0","0","0","1","0","1",30,32362147.0983337,3896240.8182999,711352.995218415,27206278.1141968,46475813.1970673,12.0395003658472,27,FALSE,FALSE,"1000","101",0.0755756790051349,0.0354873535399695,0.0834927273381219,0.0515226837260357,6,96.09375,TRUE
"0000011",130,"0","0","0","0","0","1","1",30,31200840.2480041,4311155.15636311,787105.642681596,27177332.1981782,41169988.9340147,13.8174328707025,8,FALSE,FALSE,"0000","011",0.0381981603809299,0.0804804051595251,0.0890853246675823,0.063567507248087,7,95.3125,TRUE
"0110010",177,"0","1","1","0","0","1","0",30,31520366.468844,4331114.46453175,790749.697120316,26106522.5896467,42667022.7878249,13.7406856256345,12,FALSE,FALSE,"0110","010",0.0484823477746172,0.0785382095196024,0.0922972827351049,0.0665158648216083,8,94.53125,FALSE
"0100110",165,"0","1","0","0","1","1","0",30,31010978.0442272,4451158.74399871,812666.683708152,25728245.4778938,40964746.6642968,14.3534935842738,5,FALSE,FALSE,"0100","110",0.0320873051356593,0.0940461661156137,0.0993693942414591,0.069262621723632,9,93.75,FALSE
"0010101",148,"0","0","1","0","1","0","1",30,30868535.8903947,4521320.36031432,825476.383683847,25695542.9993335,42212478.7202844,14.6470191406817,4,FALSE,FALSE,"0010","101",0.0275026992184252,0.101474238033448,0.10513524360921,0.0718856225074388,10,92.96875,FALSE
"0000101",132,"0","0","0","0","1","0","1",30,31623443.8270607,4560489.92760316,832627.735541118,27094440.2968229,42080838.8678072,14.4212311364415,14,FALSE,FALSE,"0000","101",0.0517999686733358,0.0957603589620471,0.108872784033011,0.0781762028465625,11,92.1875,FALSE
"0110011",178,"0","1","1","0","0","1","1",30,32444917.6636896,4587844.1234678,837621.905580277,27181991.5005554,41201686.7504999,14.1404092037572,29,FALSE,FALSE,"0110","011",0.0782397107786891,0.0886537698881287,0.118241038806796,0.0844881462443528,12,91.40625,FALSE
"0000000",127,"0","0","0","0","0","0","0",30,31243915.9838258,4725168.91324702,862693.867269188,26648486.8180404,44027102.2723839,15.1234848912445,9,FALSE,FALSE,"0000","000",0.0395845847505691,0.113531865671998,0.120234869621253,0.0839529533034266,13,90.625,FALSE
"1000001",192,"1","0","0","0","0","0","1",30,32192437.8333704,4800117.42753361,876377.53124461,27279298.1186403,49440570.980671,14.9106987559602,25,FALSE,FALSE,"1000","001",0.0701134609788937,0.108147016954386,0.128886285874685,0.0929335945641889,14,89.84375,FALSE
"0110100",179,"0","1","1","0","1","0","0",30,31100674.9537732,4837831.52178225,883263.151296561,26089880.143968,42467546.4047989,15.5553907719784,6,FALSE,FALSE,"0110","100",0.0349742664122063,0.12446184390997,0.129282442352168,0.0886668129108646,15,89.0625,FALSE
"0000010",129,"0","0","0","0","0","1","0",30,32567472.8472191,4791526.66479384,874809.079731694,25988715.041102,41290635.7449456,14.7126142924012,30,FALSE,FALSE,"0000","010",0.0821842398698332,0.103134214460701,0.131874620285361,0.0947542246243539,16,88.28125,FALSE
"0100111",166,"0","1","0","0","1","1","1",30,32162131.9834703,4873092.37632212,889700.873106027,25941161.0362142,47024693.5774272,15.1516459755424,24,FALSE,FALSE,"0100","111",0.0691380448184371,0.114244521026473,0.133536061892975,0.0962019305432585,17,87.5,FALSE
"0110001",176,"0","1","1","0","0","0","1",30,31953546.6642968,5096942.42517599,930570.113524658,27103904.5047767,47128115.5298822,15.9511007611278,20,FALSE,FALSE,"0110","001",0.0624245722767645,0.13447583483457,0.148258481640652,0.105655329811448,18,86.71875,FALSE
"1110100",243,"1","1","1","0","1","0","0",30,33401487.0020588,5072987.92699239,926196.640521701,27836113.8733615,50586599.2019551,15.187910426502,33,FALSE,FALSE,"1110","100",0.109027601378054,0.11516224333006,0.158585497921669,0.112708386549258,19,85.9375,FALSE
"1100010",225,"1","1","0","0","0","1","0",30,33816062.5060505,4955033.41454801,904661.191446597,28797648.2808265,46145541.46012,14.6528987922868,36,FALSE,FALSE,"1100","010",0.122371020145619,0.101623030784268,0.159065731561704,0.109922226528809,20,85.15625,FALSE
"0110101",180,"0","1","1","0","1","0","1",30,32202715.9632082,5244869.97715346,957577.865889518,25312766.7487225,42943596.0648745,16.2870423201129,26,FALSE,FALSE,"0110","101",0.0704442701783106,0.142977302614303,0.159389159806484,0.113964089639906,21,84.375,FALSE
"1010010",209,"1","0","1","0","0","1","0",30,34611917.4597645,4702120.31903041,858485.788945447,27649130.2448345,44941461.2432793,13.585263874781,41,FALSE,FALSE,"1010","010",0.147986199584343,0.0746050462303016,0.16572817560826,0.103957507571918,22,83.59375,FALSE
"0010100",147,"0","0","1","0","1","0","0",30,31822086.3890987,5338228.98409902,974622.810572973,26765886.6776272,41660103.8631415,16.7752325187821,17,FALSE,FALSE,"0010","100",0.0581934262336959,0.155331633697683,0.165874625196285,0.116476350712088,23,82.8125,FALSE
"0100010",161,"0","1","0","0","0","1","0",30,31602420.6664593,5347254.9503301,976270.719008987,26261342.4714508,50440005.9009109,16.9203967213984,13,FALSE,FALSE,"0100","010",0.0511233227233928,0.1590052154809,0.167021713188458,0.115852458377897,24,82.03125,FALSE
"0100000",159,"0","1","0","0","0","0","0",30,31874963.6469525,5373834.15215822,981123.395142901,27032500.6958454,45951656.2399467,16.8591067637876,19,FALSE,FALSE,"0100","000",0.0598953198285428,0.15745418797057,0.168461481196252,0.118430640713759,25,81.25,FALSE
"1110101",244,"1","1","1","0","1","0","1",30,34644129.2555432,4916660.55273428,897655.297442794,27428788.9233504,45068456.3536992,14.1919010764215,42,FALSE,FALSE,"1110","101",0.149022960020481,0.0899568432491499,0.174069170908056,0.113583289957682,26,80.46875,FALSE
"0110110",181,"0","1","1","0","1","1","0",30,32018780.2949863,5478723.60807089,1000273.50215884,24737517.6289713,45440035.7182848,17.1109691174863,21,FALSE,FALSE,"0110","110",0.0645241648567346,0.163827914672816,0.176076555726486,0.124106414746383,27,79.6875,FALSE
"0100001",160,"0","1","0","0","0","0","1",30,32042680.0894616,5529379.63376666,1009521.98480788,26417822.2297267,49498462.8127083,17.2562957228574,22,FALSE,FALSE,"0100","001",0.0652933973923575,0.167505606283326,0.179781411384439,0.126620722726939,28,78.90625,FALSE
"1010000",207,"1","0","1","0","0","0","0",30,34183829.0081908,5351415.91644128,977030.404009024,28283639.8666963,46537767.3583648,15.6548171217421,38,FALSE,FALSE,"1010","000",0.134207856619292,0.126977965795949,0.184757009545028,0.129869922125286,29,78.125,FALSE
"1010001",208,"1","0","1","0","0","0","1",30,35201090.6134637,4910239.77916928,896483.029936733,28955336.5456565,45978432.6682959,13.9491126371273,50,FALSE,FALSE,"1010","001",0.1669491726513,0.0838127445547597,0.186806323230117,0.117067315793376,30,77.34375,FALSE
"1000011",194,"1","0","0","0","0","1","1",30,33147920.9718729,5814672.59164167,1061609.11431639,27471406.9797823,50234079.2961564,17.5415906070719,32,FALSE,FALSE,"1000","011",0.100866391433371,0.174725389608734,0.201749822043822,0.145181790338589,31,76.5625,FALSE
"0100011",162,"0","1","0","0","0","1","1",30,30619591.7910983,5787493.90516475,1056646.9877608,25985861.2183959,56472492.0506554,18.9012771452012,3,FALSE,FALSE,"0100","011",0.0194902495327986,0.209134146088184,0.210040379181919,0.13327658746603,32,75.78125,FALSE
"1100100",227,"1","1","0","0","1","0","0",30,35063183.999289,5812292.00317435,1061174.48031516,28473579.2401689,51405879.2837147,16.5766235128339,46,FALSE,FALSE,"1100","100",0.162510546427533,0.15030555693024,0.221362684624769,0.155187552729157,33,75,FALSE
"0000001",128,"0","0","0","0","0","0","1",30,33019476.6242761,6303340.92005795,1150827.33652037,25815156.0275494,47693507.3130415,19.0897662969731,31,FALSE,FALSE,"0000","001",0.0967323152474673,0.213904125889014,0.234759698171297,0.167035401632395,34,74.21875,FALSE
"1000111",198,"1","0","0","0","1","1","1",30,34893718.3770125,6212772.87309283,1134291.94908304,28796978.5061098,57832775.3796934,17.8048461501475,44,FALSE,FALSE,"1000","111",0.157056170221102,0.181387436793534,0.239933413327631,0.171654930164561,35,73.4375,FALSE
"1110011",242,"1","1","1","0","0","1","1",30,36388605.5543213,5754304.36044178,1050587.43365477,29202381.4938902,46985366.1532993,15.813478622729,58,FALSE,FALSE,"1110","011",0.205170218024304,0.130993115462456,0.243421475352322,0.160663956487195,36,72.65625,FALSE
"1110000",239,"1","1","1","0","0","0","0",30,33800420.8396949,6472821.41714494,1181770.10029095,27398110.3292602,58819688.4247945,19.1501207864942,35,FALSE,FALSE,"1110","000",0.121867581562307,0.215431480079954,0.247512484625089,0.178005920672895,37,71.875,FALSE
"0000110",133,"0","0","0","0","1","1","0",30,31496384.1658891,6382286.8170537,1165240.81938939,25509913.4805599,52148426.479449,20.2635540112753,11,FALSE,FALSE,"0000","110",0.0477104596426445,0.243608454414297,0.248236514279095,0.165249256505636,38,71.09375,FALSE
"0010011",146,"0","0","1","0","0","1","1",30,32385198.0261572,6547650.43121685,1195431.94661197,27099871.2961564,58079907.6898467,20.2180342572813,28,FALSE,FALSE,"0010","011",0.0763175901406643,0.242456513811621,0.25418405861612,0.176000944343238,39,70.3125,FALSE
"0010001",144,"0","0","1","0","0","0","1",30,33747463.5000815,6697387.41048287,1222770.05369086,27011985.2050655,49634587.2437236,19.8456023530974,34,FALSE,FALSE,"0010","001",0.120163110476885,0.233031607160803,0.262188678350967,0.187884208487236,40,69.53125,FALSE
"1010110",213,"1","0","1","0","1","1","0",30,35998394.8043546,6401073.2077622,1168670.72937777,29308278.7007332,56008804.1021995,17.7815517679357,56,FALSE,FALSE,"1010","110",0.192610996858851,0.180797940095297,0.264172086439243,0.185523162800719,41,68.75,FALSE
"1100110",229,"1","1","0","0","1","1","0",30,34148492.0824113,6937379.0976873,1266586.34058939,27581817.8858032,53170269.7320595,20.3153307060973,37,FALSE,FALSE,"1100","110",0.133070511566114,0.244918735595642,0.278734547722803,0.200179445983831,42,67.96875,FALSE
"1100001",224,"1","1","0","0","0","0","1",30,37183456.3313042,6475832.21262392,1182319.79382424,29678693.2397245,58262639.7049545,17.4158963462792,62,FALSE,FALSE,"1100","001",0.230753077293334,0.171544521747506,0.287531747154856,0.195227943965837,43,67.1875,FALSE
"1010100",211,"1","0","1","0","1","0","0",30,35849395.6531141,6952420.35932595,1269332.486687,29228808.4745612,58215755.4747834,19.393410217006,55,FALSE,FALSE,"1010","100",0.187815349137579,0.221588257052991,0.290475405216093,0.208079093886826,44,66.40625,FALSE
"1110010",241,"1","1","1","0","0","1","0",30,35513812.7968007,7109830.88191889,1298071.58469128,26613221.7231726,62384986.6038658,20.0199030236466,54,FALSE,FALSE,"1110","010",0.177014367073055,0.237442527736204,0.296163873772667,0.213271263470944,45,65.625,FALSE
"0010000",143,"0","0","1","0","0","0","0",30,31633604.503651,7033217.78026937,1284084.01003332,26676792.0799822,63711213.3445901,22.2333745730988,15,FALSE,FALSE,"0010","000",0.0521269975532429,0.293457499851821,0.298051217231531,0.19692529893239,46,64.84375,FALSE
"0110000",175,"0","1","1","0","0","0","0",30,31850130.0506258,7185837.7655008,1311948.4795791,27115625.5623195,58876488.2328371,22.5614079254273,18,FALSE,FALSE,"0110","000",0.0590960321907015,0.301758839477454,0.307491037631122,0.204693716562753,47,64.0625,FALSE
"1000110",197,"1","0","0","0","1","1","0",30,35219013.8819522,7445555.14330261,1359366.16837848,28761160.1190846,64405187.3130415,21.1407257689235,51,FALSE,FALSE,"1000","110",0.167526046284264,0.265806504150889,0.314194324952813,0.226494321004239,48,63.28125,FALSE
"1000100",195,"1","0","0","0","1","0","0",30,37042175.605658,7477031.96430709,1365113.02334605,28032314.1844035,61111235.2561653,20.1851857836477,61,FALSE,FALSE,"1000","100",0.226205852800013,0.241625237559127,0.330986167787244,0.235457483655481,49,62.5,FALSE
"1010011",210,"1","0","1","0","0","1","1",30,36244098.2617789,7755281.82296993,1415914.26475014,29242407.8133748,63525423.6622973,21.3973645225111,57,FALSE,FALSE,"1010","011",0.200519144092548,0.272301104286839,0.338165371591238,0.243588320209123,50,61.71875,FALSE
"1010101",212,"1","0","1","0","1","0","1",30,36964968.053203,7985344.8301979,1457917.83098555,28972386.6802933,61609795.1708509,21.6024664723225,60,FALSE,FALSE,"1010","101",0.223720870705059,0.277491494017571,0.356444325584142,0.255983244692566,51,60.9375,FALSE
"1110001",240,"1","1","1","0","0","0","1",30,34974285.9659631,8135475.19087259,1485327.75935485,29116446.4856699,70402189.9631193,23.2613046018724,45,FALSE,FALSE,"1110","001",0.159649297572115,0.319470697045528,0.357140622844875,0.255542137256163,52,60.15625,FALSE
"1000010",193,"1","0","0","0","0","1","0",30,35296283.5584389,8174912.99621141,1492528.08455571,26948443.9688958,59804956.1537436,23.1608321671501,53,FALSE,FALSE,"1000","010",0.170013027887058,0.316928102526637,0.359649623692921,0.258162072670805,53,59.375,FALSE
"1100011",226,"1","1","0","0","0","1","1",30,35246392.6222025,8409975.91519598,1535444.50560933,28527539.7858254,69419572.2123972,23.8605295167096,52,FALSE,FALSE,"1100","011",0.16840725125892,0.334634915851005,0.374621848245927,0.268143850014171,54,58.59375,FALSE
"1000000",191,"1","0","0","0","0","0","0",30,35171213.3223136,8667795.7971569,1582515.76065044,27915598.6598534,72640897.3934681,24.6445742935397,48,FALSE,FALSE,"1000","000",0.165987549970708,0.354476257982735,0.391414466031496,0.279080774777924,55,57.8125,FALSE
"0000111",134,"0","0","0","0","1","1","1",30,34486997.1949345,8648006.94139247,1578902.82642064,25997888.0426572,66874617.5729838,25.0761378049543,39,FALSE,FALSE,"0000","111",0.143965548604888,0.365397572089522,0.392735871641519,0.276824762695668,56,57.03125,FALSE
"0010110",149,"0","0","1","0","1","1","0",30,34538063.6343331,9250245.68862916,1688856.0753757,26928117.7622751,73171358.969118,26.7827570953741,40,FALSE,FALSE,"0010","110",0.145609159670433,0.40858594376229,0.43375626891153,0.303395230125547,57,56.25,FALSE
"0011100",155,"0","0","1","1","1","0","0",30,44012520.5973191,5257771.35384518,959933.32423516,36598936.6558543,59870695.9982226,11.9460809844311,65,FALSE,FALSE,"0011","100",0.450551554083883,0.0331232463318262,0.451767475959659,0.200094569432649,58,55.46875,FALSE
"0000100",131,"0","0","0","0","1","0","0",30,31691589.0363919,9209882.08333933,1681486.72300254,25139557.1828483,77029945.6725172,29.0609665320457,16,FALSE,FALSE,"0000","100",0.0539932725621458,0.46623919803623,0.469355156856125,0.301340827846596,59,54.6875,FALSE
"1110111",246,"1","1","1","0","1","1","1",30,35183006.210768,9916412.89260941,1810481.01027241,28006789.9435681,73186530.8224839,28.1852347499925,49,FALSE,FALSE,"1110","111",0.166367112794877,0.444077588882225,0.474218221040856,0.332993398447286,60,53.90625,FALSE
"1100111",230,"1","1","0","0","1","1","1",30,34779577.6023698,9907391.88317282,1808834.00681911,28419575.0135525,78777460.7100644,28.4862340665625,43,FALSE,FALSE,"1100","111",0.153382465094178,0.451694794682164,0.477026590601959,0.332369862846969,61,53.125,FALSE
"1110110",245,"1","1","1","0","1","1","0",30,36819329.4238021,10242748.4061285,1870061.45096223,28839844.0879804,80665599.317485,27.8189433822416,59,FALSE,FALSE,"1110","110",0.219033383861,0.434808077035174,0.486861055230983,0.348498199765505,62,52.34375,FALSE
"0011110",157,"0","0","1","1","1","1","0",30,45438949.0330741,7284404.37564208,1329944.19817617,39658584.0444346,68244991.2037325,16.0311902688152,66,FALSE,FALSE,"0011","110",0.496462206732146,0.136502611072545,0.514886089871318,0.280486449336385,63,51.5625,FALSE
