"run_id","init_script","replicate"
1,"init-l8-omni.4th",23
2,"init-l8-omni.4th",20
3,"init-l8-stable.4th",29
4,"init-l8-transition.4th",30
5,"init-l8-temporal.4th",23
6,"init-l8-diverse.4th",17
7,"init-l8-transition.4th",1
8,"init-l8-volatile.4th",30
9,"init-l8-diverse.4th",2
10,"init-l8-diverse.4th",5
11,"init-l8-transition.4th",12
12,"init-l8-stable.4th",21
13,"init-l8-omni.4th",15
14,"init-l8-temporal.4th",7
15,"init-l8-diverse.4th",22
16,"init-l8-volatile.4th",28
17,"init-l8-stable.4th",9
18,"init-l8-omni.4th",19
19,"init-l8-omni.4th",7
20,"init-l8-stable.4th",30
21,"init-l8-volatile.4th",5
22,"init-l8-volatile.4th",14
23,"init-l8-temporal.4th",26
24,"init-l8-omni.4th",13
25,"init-l8-omni.4th",10
26,"init-l8-temporal.4th",30
27,"init-l8-omni.4th",1
28,"init-l8-transition.4th",8
29,"init-l8-stable.4th",19
30,"init-l8-stable.4th",18
31,"init-l8-temporal.4th",1
32,"init-l8-stable.4th",15
33,"init-l8-temporal.4th",18
34,"init-l8-diverse.4th",14
35,"init-l8-stable.4th",7
36,"init-l8-stable.4th",20
37,"init-l8-stable.4th",8
38,"init-l8-stable.4th",5
39,"init-l8-diverse.4th",23
40,"init-l8-transition.4th",11
41,"init-l8-temporal.4th",22
42,"init-l8-volatile.4th",24
43,"init-l8-temporal.4th",17
44,"init-l8-volatile.4th",17
45,"init-l8-diverse.4th",4
46,"init-l8-stable.4th",24
47,"init-l8-temporal.4th",24
48,"init-l8-omni.4th",27
49,"init-l8-diverse.4th",9
50,"init-l8-omni.4th",11
51,"init-l8-volatile.4th",4
52,"init-l8-stable.4th",28
53,"init-l8-omni.4th",17
54,"init-l8-diverse.4th",7
55,"init-l8-volatile.4th",25
56,"init-l8-stable.4th",1
57,"init-l8-transition.4th",5
58,"init-l8-temporal.4th",25
59,"init-l8-transition.4th",17
60,"init-l8-diverse.4th",15
61,"init-l8-diverse.4th",18
62,"init-l8-volatile.4th",11
63,"init-l8-stable.4th",4
64,"init-l8-transition.4th",9
65,"init-l8-diverse.4th",1
66,"init-l8-diverse.4th",13
67,"init-l8-volatile.4th",15
68,"init-l8-stable.4th",11
69,"init-l8-diverse.4th",27
70,"init-l8-temporal.4th",11
71,"init-l8-transition.4th",6
72,"init-l8-stable.4th",23
73,"init-l8-diverse.4th",16
74,"init-l8-diverse.4th",21
75,"init-l8-transition.4th",3
76,"init-l8-omni.4th",26
77,"init-l8-volatile.4th",8
78,"init-l8-volatile.4th",19
79,"init-l8-transition.4th",18
80,"init-l8-temporal.4th",16
81,"init-l8-omni.4th",9
82,"init-l8-volatile.4th",9
83,"init-l8-transition.4th",28
84,"init-l8-volatile.4th",23
85,"init-l8-temporal.4th",21
86,"init-l8-omni.4th",24
87,"init-l8-volatile.4th",1
88,"init-l8-stable.4th",27
89,"init-l8-volatile.4th",26
90,"init-l8-temporal.4th",8
91,"init-l8-omni.4th",8
92,"init-l8-transition.4th",19
93,"init-l8-diverse.4th",30
94,"init-l8-stable.4th",17
95,"init-l8-omni.4th",6
96,"init-l8-diverse.4th",28
97,"init-l8-diverse.4th",11
98,"init-l8-transition.4th",23
99,"init-l8-volatile.4th",20
100,"init-l8-temporal.4th",5
101,"init-l8-transition.4th",29
102,"init-l8-transition.4th",22
103,"init-l8-omni.4th",12
104,"init-l8-omni.4th",30
105,"init-l8-temporal.4th",28
106,"init-l8-diverse.4th",6
107,"init-l8-temporal.4th",15
108,"init-l8-transition.4th",2
109,"init-l8-diverse.4th",8
110,"init-l8-temporal.4th",2
111,"init-l8-omni.4th",22
112,"init-l8-volatile.4th",10
113,"init-l8-stable.4th",26
114,"init-l8-transition.4th",10
115,"init-l8-diverse.4th",26
116,"init-l8-omni.4th",5
117,"init-l8-stable.4th",2
118,"init-l8-omni.4th",18
119,"init-l8-temporal.4th",6
120,"init-l8-omni.4th",21
121,"init-l8-omni.4th",28
122,"init-l8-temporal.4th",12
123,"init-l8-stable.4th",13
124,"init-l8-temporal.4th",4
125,"init-l8-temporal.4th",3
126,"init-l8-transition.4th",27
127,"init-l8-temporal.4th",9
128,"init-l8-volatile.4th",16
129,"init-l8-diverse.4th",12
130,"init-l8-transition.4th",24
131,"init-l8-volatile.4th",12
132,"init-l8-volatile.4th",29
133,"init-l8-stable.4th",14
134,"init-l8-temporal.4th",14
135,"init-l8-transition.4th",21
136,"init-l8-omni.4th",3
137,"init-l8-omni.4th",25
138,"init-l8-volatile.4th",7
139,"init-l8-transition.4th",7
140,"init-l8-stable.4th",25
141,"init-l8-diverse.4th",29
142,"init-l8-volatile.4th",22
143,"init-l8-stable.4th",22
144,"init-l8-transition.4th",25
145,"init-l8-omni.4th",4
146,"init-l8-diverse.4th",24
147,"init-l8-transition.4th",13
148,"init-l8-temporal.4th",19
149,"init-l8-temporal.4th",29
150,"init-l8-volatile.4th",18
151,"init-l8-stable.4th",12
152,"init-l8-transition.4th",4
153,"init-l8-omni.4th",2
154,"init-l8-temporal.4th",27
155,"init-l8-volatile.4th",6
156,"init-l8-stable.4th",10
157,"init-l8-volatile.4th",2
158,"init-l8-transition.4th",20
159,"init-l8-volatile.4th",27
160,"init-l8-stable.4th",16
161,"init-l8-volatile.4th",3
162,"init-l8-diverse.4th",19
163,"init-l8-diverse.4th",20
164,"init-l8-temporal.4th",13
165,"init-l8-diverse.4th",3
166,"init-l8-temporal.4th",10
167,"init-l8-diverse.4th",25
168,"init-l8-stable.4th",6
169,"init-l8-volatile.4th",13
170,"init-l8-transition.4th",26
171,"init-l8-transition.4th",15
172,"init-l8-volatile.4th",21
173,"init-l8-omni.4th",29
174,"init-l8-diverse.4th",10
175,"init-l8-transition.4th",14
176,"init-l8-temporal.4th",20
177,"init-l8-omni.4th",16
178,"init-l8-transition.4th",16
179,"init-l8-stable.4th",3
180,"init-l8-omni.4th",14
